session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,First Language,Current Country of Residence,Nationality,Country of Birth,Student Status,Employment Status
5ad6f5348faffd0001c5ef11,59ec5fdf50e3fb0001aff729,Approved,2018-04-18 07:35:16.543000,2018-04-18 08:00:13.466000,1496.923,35,95,3,99,2018-05-03 14:25:04.529000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5ad71dbc98990d00015eb4d1,591c30103199eb000109a224,Approved,2018-04-18 10:28:12.350000,2018-04-18 10:44:35.790000,983.44,66,118,4,99,2018-05-03 14:25:17.511000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Other
5ad797979c198c0001fad572,5863de9de9cb31000195e5e4,Approved,2018-04-18 19:08:07.536000,2018-04-18 19:25:22.401000,1034.865,45,158,3,100,2018-05-03 14:25:44.383000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,Yes,Full-Time
5ad844d474a9220001ba0c7a,5a0887ae087f2e0001eae165,Approved,2018-04-19 07:27:16.058000,2018-04-19 07:42:14.693000,898.635,46,100,1,100,2018-05-03 14:24:51.653000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,Yes,Part-Time
5ad84c6f74a9220001ba0cde,586fd307460cb5000183fe34,Approved,2018-04-19 07:59:43.349000,2018-04-19 08:17:09.553000,1046.204,37,31,0,100,2018-05-03 14:25:05.894000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5ad87fb44efee10001f532c5,596e00a111949300018da583,Approved,2018-04-19 11:38:28.790000,2018-04-19 11:56:12.496000,1063.706,31,170,3,100,2018-05-03 14:25:07.241000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,"Not in paid work (e.g. homemaker, retired or disabled)"
5ad992ff80491c000142d885,5a00e6da120fb300019480b3,Approved,2018-04-20 07:13:03.335000,2018-04-20 07:29:48.232000,1004.897,27,90,0,100,2018-05-03 14:25:08.465000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5adb6e58cd58990001e464a7,56b4b2ecb2de2a000632cc3e,Approved,2018-04-21 17:01:11.963000,2018-04-21 17:16:21.594000,909.631,42,351,16,98,2018-05-03 14:25:10.556000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5adc1e86066c510001d40954,58dca28fa485ec0001691441,Approved,2018-04-22 05:32:54.648000,2018-04-22 05:50:13.257000,1038.609,26,245,1,100,2018-05-03 14:25:11.853000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5adc48fff6b58c0001fa405f,5975d481ecfed700018f43fa,Approved,2018-04-22 08:34:07.151000,2018-04-22 08:55:06.277000,1259.126,46,136,5,99,2018-05-03 14:25:13.066000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ade119852746a000143cf3e,5993576fbf8bcf0001ab6762,Approved,2018-04-23 17:02:16.422000,2018-04-23 17:17:01.962000,885.54,41,114,1,100,2018-05-03 14:25:14.323000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ae1ce474f645e0001f129cc,5772619a193c78000143818f,Approved,2018-04-26 13:04:07.180000,2018-04-26 13:26:12.182000,1325.002,43,24,1,100,2018-05-03 14:24:54.925000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5ae20c5938df950001454d3a,582746b8aebdef0001ed1c52,Approved,2018-04-26 17:28:57.654000,2018-04-26 17:43:07.383000,849.729,30,191,2,100,2018-05-03 14:25:15.533000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,Australia,No,Full-Time
5ae32ce4e1a4ca0001b7ede1,59c674074374e1000125c5b8,Approved,2018-04-27 14:00:04.577000,2018-04-27 14:14:28.155000,863.578,20,44,2,99,2018-05-03 14:25:19.584000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,Yes,Other
5ae658d258af2400010a4dda,59d69600ea41450001ec76a1,Approved,2018-04-29 23:44:18.451000,2018-04-30 00:13:03.269000,1724.818,38,60,0,100,2018-05-03 14:25:17.045000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5ae8b47478b0060001e691bd,582b785ff2b5ed00013fe001,Approved,2018-05-01 18:39:48.009000,2018-05-01 18:54:46.136000,898.127,41,51,2,99,2018-05-03 14:25:18.417000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5ae94e42d9f2be0001932996,5725ad02a34b2a001207097f,Approved,2018-05-02 05:36:02.435000,2018-05-02 05:54:25.570000,1103.135,33,137,0,100,2018-05-03 14:25:19.537000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,South Africa,No,
5aea39f3f00c7f00018f6a6c,596264bad9f24a0001b3acf2,Approved,2018-05-02 22:21:38.975000,2018-05-02 22:38:13.280000,994.305,37,148,0,100,2018-05-03 14:25:13.051000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5aeb0ad59294560001ecf4a2,59e65b36c0d35a0001295173,Approved,2018-05-03 13:12:53.604000,2018-05-03 13:28:30.424000,936.82,26,44,1,100,2018-05-03 14:28:28.311000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5aedb4f8dffab90001c4bfbf,570fe074736f6a000955753e,Approved,2018-05-05 13:43:20.443000,2018-05-05 13:58:52.704000,932.261,44,181,2,100,2018-05-09 08:51:36.828000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Other
5af2b9d9b7e4640001b90f2c,582049eb5b990100013969ed,Approved,2018-05-09 09:05:29.440000,2018-05-09 09:22:44.250000,1034.81,23,76,1,100,2018-05-25 13:25:09.164000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5af2df98b5de81000162256f,59992e3d5fe7490001cf4474,Approved,2018-05-09 11:46:31.945000,2018-05-09 12:02:32.571000,960.626,32,63,0,100,2018-05-25 13:25:51.018000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5af5b0607a411700017079e4,57b6dfafe2d5a60001099543,Approved,2018-05-11 15:01:52.272000,2018-05-11 15:29:20.426000,1648.154,34,350,6,100,2018-05-25 13:26:11.775000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5af8d62f33b0ee00011edab7,57c3b42dccfe7800015dd024,Approved,2018-05-14 00:19:59.421000,2018-05-14 00:35:03.174000,903.753,39,46,0,100,2018-05-25 13:26:35.419000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
5afb1a6357516b0001416bee,59c54f9b21454d000194c079,Approved,2018-05-15 17:35:31.581000,2018-05-15 17:55:57.999000,1226.418,34,41,0,100,2018-05-25 13:26:57.392000,2NHV0BMF,Female,English,United Kingdom,United Kingdom,United Kingdom,No,Part-Time
5afb1f25e19f8c00019ea9c1,58f7590d4bf83e000199efd6,Approved,2018-05-15 17:55:48.969000,2018-05-15 18:15:34.810000,1185.841,53,322,1,100,2018-05-25 13:27:17.781000,2NHV0BMF,Male,English,United Kingdom,United Kingdom,United Kingdom,No,Full-Time
